city,attraction,category,description,image,rating,popularity,entryFee,visitDuration,bestSeason,openingHours,latitude,longitude,detourDistance,extraTime,extraFuelCost,importantNotes
Abbottabad,St. Luke's Church,Historical,Historical Anglican church established in 1864 during British Raj.,images/abbottabad/st_lukes_church.jpg,4.3,75,0,1.0,All Year,09:00 AM - 05:00 PM,34.148,73.215,2.5,10,60,Modest dress required. Photography allowed outside.
Abbottabad,Ilyasi Mosque,Culture,Famous historic mosque built over a natural water spring.,images/abbottabad/ilyasi_mosque.jpg,4.6,88,0,1.5,All Year,05:00 AM - 09:00 PM,34.165,73.240,4.0,15,100,Famous pakora stalls located outside mosque grounds.
Abbottabad,Shimla Peak,Nature,Viewpoint offering panoramic views of Abbottabad valley.,images/abbottabad/shimla_peak.jpg,4.5,82,50,2.0,Summer,07:00 AM - 07:00 PM,34.160,73.210,5.5,20,140,Chairlift facilities available at peak.
Abbottabad,Lady Garden Park,Family,Public park established in the 19th century near cantonment.,images/abbottabad/lady_garden_park.jpg,4.1,68,30,1.0,Spring,08:00 AM - 08:00 PM,34.150,73.220,1.5,5,40,Family-only entrance on weekends.
Abbottabad,Harnoi Lake,Nature,Scenic river picnic spot surrounded by hills and amusement rides.,images/abbottabad/harnoi_lake.jpg,4.4,85,100,2.5,Summer,08:00 AM - 07:00 PM,34.185,73.290,11.0,25,280,Water activities and small theme park for kids.
Bahawalpur,Derawar Fort,Historical,Massive 9th-century fortress in the heart of the Cholistan Desert.,images/bahawalpur/derawar_fort.jpg,4.8,95,100,3.0,Winter,08:00 AM - 06:00 PM,28.767,71.333,95.0,90,2200,Desert safari 4x4 vehicle recommended.
Bahawalpur,Noor Mahal,Historical,Stunning 19th-century Italianate palace of the Nawabs of Bahawalpur.,images/bahawalpur/noor_mahal.jpg,4.7,92,150,2.0,Autumn,09:00 AM - 10:00 PM,29.395,71.670,3.0,10,80,Sound and light show featured on weekend evenings.
Bahawalpur,Darbar Mahal,Historical,Mughal-Arabic style palace built by Nawab Bahawal Khan IV.,images/bahawalpur/darbar_mahal.jpg,4.5,80,0,1.5,Winter,09:00 AM - 05:00 PM,29.400,71.680,4.0,12,100,Exterior view permitted; military permission needed for inside.
Bahawalpur,Bahawalpur Zoo,Family,One of the oldest zoos in Pakistan established in 1942.,images/bahawalpur/bahawalpur_zoo.jpg,4.2,74,50,2.0,Spring,08:00 AM - 06:00 PM,29.396,71.683,2.0,8,50,Lush green lawns and lion enclosure.
Bahawalpur,Central Library,Culture,Historic library featuring Victorian architecture and rare manuscripts.,images/bahawalpur/central_library.jpg,4.4,78,0,1.0,All Year,09:00 AM - 04:00 PM,29.398,71.685,2.5,8,60,Quiet study halls and manuscript archives.
