city,name,category,description,image
Abbottabad,Shimla Hill Trekking,Adventure,Trek up the pine-covered trails of Shimla Peak for sweeping views.,images/activities/shimla_trekking.jpg
Abbottabad,Ilyasi Spring Picnic,Family,Relax near the natural freshwater spring and taste local pakoras.,images/activities/ilyasi_picnic.jpg
Abbottabad,St. Luke's Heritage Walk,Historical,Explore British-era architecture and historical colonial landmarks.,images/activities/st_lukes_walk.jpg
Abbottabad,Piffer Golf Club Tour,Nature,Enjoy peaceful views over green pine-forested golf courses.,images/activities/piffer_golf.jpg
Abbottabad,Cantt Street Food Tasting,Food,Sample local street food and hot tea in Abbottabad Cantonment.,images/activities/cantt_food.jpg
Bahawalpur,Cholistan Desert Safari,Adventure,Thrilling 4x4 sand dune bashing and desert camping near Derawar Fort.,images/activities/cholistan_safari.jpg
Bahawalpur,Noor Mahal Palace Tour,Historical,Guided heritage tour of royal artifacts and Italianate architecture.,images/activities/noor_mahal_tour.jpg
Bahawalpur,Bahawalpur Zoo & Boating,Family,Family day out exploring wildlife exhibits and paddle boating on the lake.,images/activities/bahawalpur_zoo_boating.jpg
Bahawalpur,Central Library Reading & Architecture,Nature,Quiet afternoon strolling through Victorian gardens and historic books.,images/activities/library_stroll.jpg
Bahawalpur,Royal Sajji & BBQ Feast,Food,Savor traditional Cholistani chicken and lamb sajji roasted over coals.,images/activities/royal_sajji.jpg
Chitral,Kalash Cultural Festival,Historical,Immerse in ancient indigenous Kalash traditions, music, and dance.,images/activities/kalash_festival.jpg
Chitral,Garam Chashma Hot Springs Bath,Nature,Soak in natural therapeutic hot mineral springs in the mountain valley.,images/activities/garam_chashma_bath.jpg
Chitral,Tirich Mir Base Camp Trek,Adventure,Challenging alpine trek toward the highest peak of the Hindu Kush.,images/activities/tirich_mir_trek.jpg
Chitral,Chitral River Trout Fishing,Family,Fun family trout fishing and riverside picnic along the Chitral River.,images/activities/trout_fishing.jpg
Chitral,Traditional Chitrali Food Experience,Food,Taste authentic Chitrali dishes including Kaghazi, Ghalandi, and fresh walnut bread.,images/activities/chitrali_food.jpg
Dera Ghazi Khan,Fort Munro Hill Station Trek,Adventure,Cool mountain trekking and paragliding opportunities at 6470 feet elevation.,images/activities/fort_munro_trek.jpg
Dera Ghazi Khan,Sakhi Sarwar Shrine Visit,Historical,Cultural pilgrimage and exploration of 12th-century Sufi heritage.,images/activities/sakhi_sarwar_visit.jpg
